,0,1
1145,1_publicservicesgovt_far,publicservicesgovt_far
1144,1_publicservicesgovt_near,publicservicesgovt_near
695,1_pubs_far,pubs_far
694,1_pubs_near,pubs_near
255,1_realestate_far,realestate_far
254,1_realestate_near,realestate_near
1205,1_realestateagents_far,realestateagents_far
1204,1_realestateagents_near,realestateagents_near
1015,1_realestatesvcs_far,realestatesvcs_far
1014,1_realestatesvcs_near,realestatesvcs_near
5,1_restaurants_far,restaurants_far
4,1_restaurants_near,restaurants_near
565,1_salad_far,salad_far
564,1_salad_near,salad_near
145,1_sandwiches_far,sandwiches_far
144,1_sandwiches_near,sandwiches_near
555,1_seafood_far,seafood_far
554,1_seafood_near,seafood_near
1465,1_selfstorage_far,selfstorage_far
1464,1_selfstorage_near,selfstorage_near
1025,1_servicestations_far,servicestations_far
1024,1_servicestations_near,servicestations_near
1085,1_shoes_far,shoes_far
1084,1_shoes_near,shoes_near
15,1_shopping_far,shopping_far
14,1_shopping_near,shopping_near
405,1_skincare_far,skincare_far
404,1_skincare_near,skincare_near
545,1_spas_far,spas_far
544,1_spas_near,spas_near
1035,1_specialtyschools_far,specialtyschools_far
1034,1_specialtyschools_near,specialtyschools_near
685,1_sportgoods_far,sportgoods_far
684,1_sportgoods_near,sportgoods_near
655,1_sportsbars_far,sportsbars_far
654,1_sportsbars_near,sportsbars_near
955,1_steak_far,steak_far
954,1_steak_near,steak_near
625,1_sushi_far,sushi_far
624,1_sushi_near,sushi_near
1055,1_thai_far,thai_far
1054,1_thai_near,thai_near
1425,1_theater_far,theater_far
1424,1_theater_near,theater_near
615,1_tires_far,tires_far
614,1_tires_near,tires_near
175,1_tradamerican_far,tradamerican_far
174,1_tradamerican_near,tradamerican_near
1415,1_transport_far,transport_far
1414,1_transport_near,transport_near
1395,1_vegetarian_far,vegetarian_far
1394,1_vegetarian_near,vegetarian_near
645,1_venues_far,venues_far
644,1_venues_near,venues_near
1165,1_vet_far,vet_far
1164,1_vet_near,vet_near
1195,1_vietnamese_far,vietnamese_far
1194,1_vietnamese_near,vietnamese_near
585,1_waxing_far,waxing_far
584,1_waxing_near,waxing_near
1325,1_wine_bars_far,wine_bars_far
1324,1_wine_bars_near,wine_bars_near
465,1_womenscloth_far,womenscloth_far
464,1_womenscloth_near,womenscloth_near
1275,1_yoga_far,yoga_far
1274,1_yoga_near,yoga_near
677,2_accessories_far,accessories_far
676,2_accessories_near,accessories_near
117,2_active_far,active_far
116,2_active_near,active_near
577,2_apartments_far,apartments_far
576,2_apartments_near,apartments_near
227,2_arts_far,arts_far
226,2_arts_near,arts_near
907,2_artsandcrafts_far,artsandcrafts_far
