,,log_4brackets_2ndcities_bracket0,log_4brackets_2ndcities_bracket1,log_4brackets_2ndcities_bracket2,log_4brackets_2ndcities_bracket3,rf_8brackets_2ndcities,rf_4brackets_2ndcities,2ndcities_category_counts,1stcities_category_counts,rf_4brackets_1stcities,rf_8brackets_1stcities,log_4brackets_1stcities_bracket0,log_4brackets_1stcities_bracket1,log_4brackets_1stcities_bracket2,log_4brackets_1stcities_bracket3
4_arts_near,arts_near,0.0069,-0.0159,-0.0168,0.0808,0.0011,0.0001,10304,2446,0,0,-0.0591,0.0307,-0.1192,-0.012
0_artsandcrafts_far,artsandcrafts_far,0.0192,-0.0026,-0.0261,0.1154,0.0003,0.0001,12503,2519,0.0007,0.0009,-0.3949,0.0239,0.2651,0.0149
1_artsandcrafts_far,artsandcrafts_far,-0.0031,0.0032,-0.0002,0.0307,0.0001,0,3410,2241,0.0003,0.0005,-0.0098,0.0584,-0.1701,-0.0565
2_artsandcrafts_far,artsandcrafts_far,0.0027,-0.0069,-0.0269,0.125,0.0001,0.0008,18352,14198,0.002,0.0017,-0.4268,0.239,-0.1103,0.0131
3_artsandcrafts_far,artsandcrafts_far,0.0059,-0.0186,0.0143,-0.1196,0.0002,0,22160,4592,0.0006,0.0014,0.2526,0.0476,-0.1207,-0.0959
4_artsandcrafts_far,artsandcrafts_far,-0.0013,-0.012,-0.0623,0.0871,0,0,1209,29,0,0,0.0765,-0.0192,-0.0207,-0.0072
0_artsandcrafts_near,artsandcrafts_near,-0.0036,-0.0023,0.0319,-0.0928,0.0002,0,4068,917,0.0005,0.0005,-0.4094,0.1594,-0.269,0.1124
1_artsandcrafts_near,artsandcrafts_near,0.0004,0.0008,-0.0063,0.0856,0,0,1981,431,0.0001,0.0002,0.2034,-0.0381,0.0366,-0.0392
2_artsandcrafts_near,artsandcrafts_near,-0.0077,-0.0009,0.045,0.0281,0,0,6558,4407,0.0006,0.0006,0.0279,0.0654,-0.0927,0.2019
3_artsandcrafts_near,artsandcrafts_near,0.0042,-0.0012,-0.0177,0.0339,0.0001,0.0001,7757,2520,0.0001,0.0004,-0.0531,0.0609,0.0809,-0.0832
4_artsandcrafts_near,artsandcrafts_near,-0.0005,-0.0089,0.0119,0.0998,0,0,705,2,0,0,-0.0212,0.0079,-0.0009,-0.0019
0_asianfusion_far,asianfusion_far,-0.0064,0.0081,0.023,0.0624,0.0007,0.001,22290,233,0.0011,0.0001,-0.0977,0.0634,-0.0096,-0.0041
1_asianfusion_far,asianfusion_far,0.0103,0.0003,-0.0628,0.2494,0.0005,0.0002,17609,6521,0.0004,0.0022,-0.1213,0.0422,-0.0366,0.0008
2_asianfusion_far,asianfusion_far,-0.012,0.0311,0.0436,0.0307,0.0007,0.0011,63703,26931,0.0006,0.0021,0.067,-0.015,0.0535,-0.0445
3_asianfusion_far,asianfusion_far,0.0003,-0.0034,0.0235,0.0025,0,0.0002,1208,3015,0.0003,0.0004,-0.2212,0.09,-0.0913,-0.0811
4_asianfusion_far,asianfusion_far,0.0018,-0.0011,0.0006,-0.004,0,0,286,958,0,0.0003,-0.0827,0.0091,0.0719,-0.016
0_asianfusion_near,asianfusion_near,0.0012,0.0055,-0.0003,-0.0542,0.0001,0,2633,78,0,0,0.0359,0.0097,-0.0185,-0.0006
1_asianfusion_near,asianfusion_near,-0.0007,-0.0115,0.0838,0.0328,0,0,8809,1918,0.0004,0.0002,-0.2641,0.1183,0.0325,0.078
2_asianfusion_near,asianfusion_near,0.0036,0.0078,0.0826,0.0081,0.0008,0.0006,25343,8339,0.0024,0.0007,0.0866,0.0362,0.0249,0.004
3_asianfusion_near,asianfusion_near,0.0008,-0.0011,-0.0029,-0.0059,0.0001,0,246,1237,0,0.0003,0.1188,0.1363,-0.2148,-0.0812
4_asianfusion_near,asianfusion_near,-0.0012,0.0018,-0.001,-0.0088,0,0,148,291,0.0001,0,0.1483,-0.0379,-0.0036,-0.0004
0_auto_detailing_far,auto_detailing_far,-0.0072,-0.0016,-0.0145,-0.234,0.0009,0.0016,250070,71090,0.0012,0.0013,-0.2947,0.0541,0.0765,0.2447
1_auto_detailing_far,auto_detailing_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_auto_detailing_far,auto_detailing_far,0.0009,0.0009,-0.0059,0.0036,0,0,158,0,0,0,0,0,0,0
3_auto_detailing_far,auto_detailing_far,0,0.0025,0.0045,-0.012,0.0001,0,386,0,0,0,0,0,0,0
4_auto_detailing_far,auto_detailing_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_auto_detailing_near,auto_detailing_near,-0.0186,0.0059,0.0232,-0.2094,0.0004,0.0003,68650,14715,0.0005,0.0002,-0.0519,-0.0684,0.1024,-0.0155
1_auto_detailing_near,auto_detailing_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_auto_detailing_near,auto_detailing_near,-0.0008,0.0001,0.0033,-0.0053,0,0,54,0,0,0,0,0,0,0
3_auto_detailing_near,auto_detailing_near,0.002,-0.0012,0.0061,-0.0051,0,0.0001,214,0,0,0,0,0,0,0
4_auto_detailing_near,auto_detailing_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_auto_far,auto_far,0.0114,-0.0438,-0.0418,-0.0579,0.003,0.0033,1071773,236621,0.0067,0.0056,0.1601,-0.0786,-0.0247,-0.1886
1_auto_far,auto_far,0,-0.0002,0.0017,-0.0195,0,0,4,3631,0.0014,0.0023,0.598,-0.2206,-0.1293,-0.144
2_auto_far,auto_far,0.0101,-0.0073,-0.0201,0.0069,0,0,1052,4702,0.0013,0.0016,0.2969,-0.2206,0.1541,-0.1458
3_auto_far,auto_far,0.0007,0.0026,-0.0035,-0.002,0.0002,0,271,431,0.0001,0.0001,-0.0998,0.0523,0.0352,-0.0118
4_auto_far,auto_far,0.0033,-0.0042,-0.007,-0.0114,0.0001,0,109,226,0,0,0.0452,-0.0225,-0.0682,0.0045
