,,log_4brackets_2ndcities_bracket0,log_4brackets_2ndcities_bracket1,log_4brackets_2ndcities_bracket2,log_4brackets_2ndcities_bracket3,rf_8brackets_2ndcities,rf_4brackets_2ndcities,2ndcities_category_counts,1stcities_category_counts,rf_4brackets_1stcities,rf_8brackets_1stcities,log_4brackets_1stcities_bracket0,log_4brackets_1stcities_bracket1,log_4brackets_1stcities_bracket2,log_4brackets_1stcities_bracket3
2_fashion_near,fashion_near,-0.0066,0.0183,0.0227,-0.0476,0.0001,0,10348,17148,0.0009,0.0007,0.2658,-0.0148,-0.0468,-0.0225
3_fashion_near,fashion_near,-0.0006,-0.0136,-0.0108,0.048,0.0001,0.0004,2722,10779,0.0008,0.0003,0.029,-0.0729,0.0172,0.0123
4_fashion_near,fashion_near,-0.0009,0.0069,0.0036,-0.001,0,0,4157,2644,0.0001,0,0.0063,-0.112,-0.0243,0.0756
0_financialservices_far,financialservices_far,0.0023,-0.0052,-0.0095,-0.0289,0.0027,0.0033,835835,45911,0.0024,0.0049,-0.1409,0.0014,0.1203,-0.065
1_financialservices_far,financialservices_far,0.0069,-0.0088,-0.0096,0.0399,0,0.0011,3891,202,0,0.0001,-0.0289,0.0043,0.0505,-0.0084
2_financialservices_far,financialservices_far,0,0,0,0,0,0,0,70,0,0,0.0756,-0.0182,-0.0018,0
3_financialservices_far,financialservices_far,0,0,0,0,0,0,0,149,0,0,-0.0578,-0.0362,-0.0299,0.0604
4_financialservices_far,financialservices_far,0,0,0,0,0,0,0,17,0.0002,0.0001,-0.0015,-0.0098,0.0163,-0.0035
0_financialservices_near,financialservices_near,0.0412,-0.0374,0.0176,-0.0903,0.0024,0.0024,277988,11505,0.0011,0.0014,-0.226,-0.0021,0.1844,-0.0685
1_financialservices_near,financialservices_near,-0.0023,0.0041,-0.0168,0.0143,0,0.0003,1390,79,0.0002,0,-0.2053,0.0529,-0.0352,0.0204
2_financialservices_near,financialservices_near,0,0,0,0,0,0,0,23,0,0,-0.0493,0.0201,0,0
3_financialservices_near,financialservices_near,0,0,0,0,0,0,0,77,0.0001,0,-0.0967,-0.0152,-0.0264,0.0535
4_financialservices_near,financialservices_near,0,0,0,0,0,0,0,7,0,0,-0.0001,-0.0099,0.0062,-0.003
0_fitness_far,fitness_far,-0.0081,-0.0009,0.0238,-0.2054,0.001,0.0031,18827,68727,0.003,0.0049,0.0866,-0.1148,0.1124,-0.2191
1_fitness_far,fitness_far,0,0,0,0,0,0,0,319,0,0.0001,-0.0949,-0.0153,0.0577,-0.0076
2_fitness_far,fitness_far,0,0,0,0,0,0,0,4309,0.0006,0.0008,0.0795,-0.0711,-0.0557,-0.0402
3_fitness_far,fitness_far,0,0,0,0,0,0,0,824,0.0002,0.0001,-0.0993,-0.0059,-0.0529,0.1197
4_fitness_far,fitness_far,0,0,0,0,0,0,0,47,0,0,0.0196,-0.0159,0.012,-0.0016
0_fitness_near,fitness_near,-0.0065,0.0132,0.0313,0.0073,0.0007,0.0012,5869,20468,0.0011,0.0011,-0.0012,-0.0484,-0.0015,0.0576
1_fitness_near,fitness_near,0,0,0,0,0,0,0,150,0,0.0001,-0.0513,0.0544,-0.0623,-0.0081
2_fitness_near,fitness_near,0,0,0,0,0,0,0,1584,0,0,0.0519,-0.0034,0.0105,-0.0251
3_fitness_near,fitness_near,0,0,0,0,0,0,0,295,0.0008,0,-0.0932,-0.0373,0.2145,-0.0783
4_fitness_near,fitness_near,0,0,0,0,0,0,0,5,0,0,0.0066,-0.0019,-0.0076,0.0063
0_florists_far,florists_far,0.0421,0.011,-0.0333,-0.0227,0.0022,0.0012,201469,5983,0.0004,0.0003,-0.0692,0.0131,0.0683,-0.0191
1_florists_far,florists_far,0.0103,-0.0131,-0.0213,0.1078,0.0002,0.0009,5040,419,0.0001,0.0001,0.2237,-0.1331,0.0421,-0.0344
2_florists_far,florists_far,0.0044,-0.0134,0.0572,-0.0418,0.0012,0.009,121144,11719,0.0013,0.001,0.4621,0.0082,-0.0314,-0.0299
3_florists_far,florists_far,0.0006,0.0118,0.0598,-0.1307,0.0005,0.0003,24423,3760,0.0009,0.0007,0.1247,-0.007,0.1136,-0.0298
4_florists_far,florists_far,0.0007,-0.0012,0.001,-0.0362,0,0,795,7107,0,0.0004,-0.0247,0.0175,0.179,0.0953
0_florists_near,florists_near,0.0072,0.0204,-0.0569,-0.0056,0.0007,0.0008,66740,578,0,0.0004,0.2299,-0.1165,-0.0029,0.0209
1_florists_near,florists_near,0.0001,0.0089,-0.0165,-0.0446,0.0002,0,2031,94,0.0001,0,0.1112,0.0028,-0.0369,-0.0004
2_florists_near,florists_near,-0.0052,0.0238,-0.0751,0.0161,0.0006,0.001,39963,3451,0.0009,0.0011,-0.1332,0.0994,-0.0357,-0.0129
3_florists_near,florists_near,-0.0012,-0.001,-0.0358,-0.0255,0,0.0003,7874,1520,0.0003,0.0004,-0.0041,-0.0134,-0.0223,0.0211
4_florists_near,florists_near,0.0015,-0.0013,-0.0046,0.0216,0,0,295,904,0.0001,0.0001,0.0001,0.0157,-0.0405,-0.0052
0_flowers_far,flowers_far,0.0044,0.0078,0.0056,0.0998,0.0001,0.0001,29166,12689,0.0003,0.0008,-0.002,-0.0018,0.2001,-0.0346
1_flowers_far,flowers_far,0.0005,0.0019,-0.0079,0.0189,0,0,1008,2670,0.0008,0.0012,0.0881,-0.1396,0.1735,-0.046
2_flowers_far,flowers_far,0.0058,-0.03,0.039,0.0612,0.0002,0.0001,19450,22345,0.0019,0.002,-0.0936,-0.0671,0.0741,0.0377
3_flowers_far,flowers_far,0.005,-0.0054,-0.0349,-0.003,0,0.0004,4294,8747,0.0005,0.0006,0.0565,-0.0588,0.1266,-0.0657
4_flowers_far,flowers_far,0,0,0,0,0,0,0,7161,0,0,-0.0265,0.0204,0.1792,0.0953
0_flowers_near,flowers_near,-0.0001,-0.002,0.0204,-0.0118,0,0,11653,2947,0,0.0003,0.2909,-0.078,-0.0175,0.0339
1_flowers_near,flowers_near,-0.0004,0.0004,0.0038,-0.0258,0,0,582,935,0.0004,0,-0.1565,0.1149,-0.007,-0.0705
2_flowers_near,flowers_near,0.0043,-0.0015,-0.0217,-0.0167,0.0005,0,7794,7172,0.0043,0.0008,-0.1258,0.009,-0.0988,0.2187
3_flowers_near,flowers_near,-0.0029,0.0109,0.014,-0.1223,0.0001,0,1855,4191,0.0003,0,-0.053,0.0293,0.0642,-0.0098
4_flowers_near,flowers_near,0,0,0,0,0,0,0,921,0,0.0001,-0.0187,0.0243,-0.0405,-0.0052
0_food_far,food_far,-0.0108,0.0061,0.0016,0.036,0.0042,0.0022,1028652,136035,0.0023,0.0019,0.3138,-0.1145,-0.0209,-0.1068
1_food_far,food_far,0.0002,-0.0086,0.03,-0.1309,0.0041,0.0022,936419,237929,0.0045,0.005,0.0442,0.0756,-0.0163,0.0254
2_food_far,food_far,-0.0072,-0.0034,0.0093,0.0001,0.0032,0.0034,841101,231018,0.0081,0.0069,0.008,0.0308,0.0632,0.0541
3_food_far,food_far,0.0342,-0.0274,0.0221,-0.1364,0.0014,0.0006,76616,15183,0.0021,0.0015,-0.4115,0.0085,0.104,0.1097
4_food_far,food_far,0.0169,0.0027,-0.0678,-0.1654,0.0011,0.0003,16489,3783,0.0003,0.0002,0.335,-0.1445,0.0606,-0.1017
0_food_near,food_near,-0.0039,-0.017,0.0039,-0.0074,0.0021,0.0027,289745,34444,0.0009,0.0015,0.1563,-0.1654,0.045,0.1604
1_food_near,food_near,-0.0325,0.0115,0.062,-0.1189,0.003,0.0033,346857,74802,0.0024,0.0018,-0.1746,0.1296,-0.0356,-0.0819
2_food_near,food_near,0.0083,-0.0248,0.0247,-0.0189,0.0046,0.0015,295245,67596,0.0024,0.0029,0.089,0.0109,0.1548,0.0771
3_food_near,food_near,-0.0049,0.0203,-0.0118,-0.0767,0.001,0.0015,31434,5929,0.0002,0.0007,-0.0124,0.0047,-0.2951,0.0841
4_food_near,food_near,-0.0018,-0.0216,0.0531,0.0337,0.0005,0.0008,5620,942,0.0001,0.0003,0.2101,-0.1664,-0.0182,-0.0042
0_french_far,french_far,-0.0098,0.0176,-0.0316,-0.1444,0.0003,0.0002,1305,83,0,0,-0.0051,0.0038,-0.011,-0.0023
1_french_far,french_far,-0.0066,0.0085,-0.0096,0.0048,0.0006,0.0002,545,670,0.0002,0.0003,0.1501,0.0013,0.0311,-0.0404
2_french_far,french_far,0.0021,-0.0129,0.0228,0.1181,0.0002,0.0003,11321,3045,0.0006,0.0013,0.0763,0.086,0.0574,-0.3
3_french_far,french_far,-0.0147,0.0135,-0.0193,0.184,0.0009,0.0016,14571,2495,0.0015,0.0003,0.1457,-0.1307,-0.1536,0.3041
4_french_far,french_far,0.0003,-0.002,0.0198,0.0134,0,0.0002,2209,480,0.0002,0.0004,0.0032,0.0355,0.0752,-0.019
0_french_near,french_near,-0.0057,-0.0001,0.0145,-0.0579,0.0004,0.0009,399,65,0.0001,0.0001,-0.0033,0.0071,-0.0128,0.0024
1_french_near,french_near,-0.0028,0.0062,-0.0097,0.0104,0,0,217,249,0.0009,0.0001,-0.0368,0.0344,-0.0059,-0.0196
2_french_near,french_near,-0.0008,-0.007,0.0084,-0.0309,0.0001,0.0003,5522,1066,0.0023,0.0002,-0.2137,0.0779,0.0055,0.0795
3_french_near,french_near,-0.0023,0.0027,0.0083,0.1026,0.0002,0.0003,5573,836,0.0004,0.0004,-0.1457,-0.0743,0.0535,0.2126
4_french_near,french_near,-0.0007,-0.0003,-0.0095,0.063,0.0001,0,621,176,0,0,-0.0294,-0.0398,-0.0057,0.0508
0_furniture_far,furniture_far,0,0.0198,-0.0216,0.0658,0.0012,0.001,63292,5586,0.0004,0.0003,-0.288,0.1988,0.2128,-0.1397
1_furniture_far,furniture_far,-0.0086,0.0261,-0.03,-0.0407,0.0001,0.0004,1377,1528,0.0002,0.0007,-0.7079,0.1566,-0.0002,0.024
2_furniture_far,furniture_far,0.0437,-0.0408,0.0061,-0.0082,0.0003,0.0009,20134,5955,0.0017,0.001,-0.2357,0.1492,-0.0224,0.1108
3_furniture_far,furniture_far,-0.0127,0.0167,-0.09,-0.06,0.0008,0.0005,15700,9686,0.001,0.0009,0.0021,-0.0161,-0.0477,0.0859
4_furniture_far,furniture_far,-0.0094,0.0171,-0.0196,-0.0472,0.0001,0.0007,18606,723,0.0012,0.0002,-0.2912,0.152,-0.013,-0.01
0_furniture_near,furniture_near,-0.0118,0.0096,0.0189,0.0061,0.0004,0.0006,18305,1640,0.0005,0.0003,-0.0433,-0.0008,0.1376,0.0204
1_furniture_near,furniture_near,0.0035,0.0087,0.0033,0.0123,0.0001,0.0001,847,454,0.0001,0,-0.1203,-0.0135,-0.0543,-0.0221
2_furniture_near,furniture_near,-0.0223,0.0137,0.0317,-0.1344,0.0005,0.0009,7211,1916,0.0007,0.0001,-0.2245,0.0908,-0.1506,0.0762
3_furniture_near,furniture_near,0.0047,0.0117,0.0053,-0.0228,0,0.0006,6352,3480,0.0003,0.0001,-0.0419,-0.0516,-0.0397,0.0536
4_furniture_near,furniture_near,-0.0039,-0.016,0.0007,0.0018,0.0005,0,4971,186,0,0,-0.0425,0.0646,-0.0647,-0.0201
0_generaldentistry_far,generaldentistry_far,-0.0152,0.0004,-0.015,-0.0204,0.0024,0.0034,894057,29377,0.0029,0.0034,-0.0052,-0.0109,0.0622,-0.128
1_generaldentistry_far,generaldentistry_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_generaldentistry_far,generaldentistry_far,0.0076,-0.0063,0.0042,-0.059,0,0,3443,101,0.0001,0,0.051,-0.0205,0.0054,-0.0073
3_generaldentistry_far,generaldentistry_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_generaldentistry_far,generaldentistry_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_generaldentistry_near,generaldentistry_near,-0.017,0.0136,-0.0013,0.0141,0.0025,0.0031,282574,9457,0.0011,0.0017,-0.1485,0.0663,-0.0026,0.0583
1_generaldentistry_near,generaldentistry_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_generaldentistry_near,generaldentistry_near,0.0055,-0.001,0.0027,0.0633,0,0,1429,56,0,0,-0.1517,0.0703,0.0066,-0.0273
3_generaldentistry_near,generaldentistry_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_generaldentistry_near,generaldentistry_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_gourmet_far,gourmet_far,-0.0025,-0.0137,-0.0076,-0.0919,0.0003,0.0018,24192,15536,0.0013,0.0012,0.0897,0.0872,-0.0769,0.0829
1_gourmet_far,gourmet_far,0.0079,-0.0079,-0.0043,0.0393,0.0005,0.0007,6716,20509,0.0035,0.0014,0.0779,-0.1189,-0.018,0.1401
2_gourmet_far,gourmet_far,0.0056,-0.015,-0.0008,0.1571,0.0004,0.0009,25821,34394,0.002,0.0026,0.1597,-0.0505,-0.03,0.0679
3_gourmet_far,gourmet_far,0.005,-0.0101,0.0034,-0.0097,0.0005,0.0001,1364,3428,0.0007,0.0009,-0.0855,-0.0554,-0.1629,0.2028
4_gourmet_far,gourmet_far,0,0,0,0,0,0,0,1248,0.0001,0,0.0358,-0.0285,-0.0129,-0.0025
0_gourmet_near,gourmet_near,0.0065,0.0004,-0.0063,0.0289,0.0001,0,8753,4187,0.0002,0.0002,-0.0578,0.1029,0.0144,-0.0666
1_gourmet_near,gourmet_near,-0.0021,-0.003,-0.0038,0.0196,0.0002,0,2609,6748,0.0003,0.0016,0.2068,-0.1738,-0.0631,-0.1035
2_gourmet_near,gourmet_near,-0.0078,0.0046,-0.0189,0.0715,0.0001,0.0002,11773,10149,0.0006,0.0021,0.5182,-0.2026,-0.1931,-0.0065
3_gourmet_near,gourmet_near,-0.0017,0.0014,0.0016,-0.0308,0,0.0001,604,1244,0.0006,0.0005,0.2183,-0.1981,-0.0221,0.0899
4_gourmet_near,gourmet_near,0,0,0,0,0,0,0,50,0,0,0.0085,-0.0011,0.0138,-0.0043
0_greek_far,greek_far,-0.0121,0.0234,0.0015,0.1332,0.0001,0.0004,7842,2223,0,0,0.0172,-0.0412,-0.0295,0.0905
1_greek_far,greek_far,0.0276,-0.0069,-0.0293,-0.0713,0.0007,0.0014,13070,8029,0.0007,0.0016,-0.0434,0.1348,0.0365,-0.0728
2_greek_far,greek_far,0.0019,-0.005,-0.0068,-0.0849,0.0011,0.0005,12512,10627,0.0001,0.0007,0.1026,-0.1222,0.1748,-0.0518
3_greek_far,greek_far,-0.0035,-0.0016,-0.021,0.0184,0.0001,0.0009,991,119,0,0,-0.0004,0.0129,0.0179,-0.0222
4_greek_far,greek_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_greek_near,greek_near,-0.0046,0.0078,0.0026,0.0506,0.0002,0.001,3597,784,0,0.0002,-0.0224,-0.05,0.0509,0.0205
1_greek_near,greek_near,-0.0048,0.0082,0.0414,-0.1605,0.0004,0.0001,3884,2879,0.0016,0.0005,-0.0555,0.0512,0.1992,-0.0479
2_greek_near,greek_near,-0.0077,0.0014,-0.0041,-0.1034,0.0006,0.0007,4277,3863,0.0001,0.0004,-0.2052,-0.0314,0.0592,0.036
3_greek_near,greek_near,0.0045,-0.0023,0.014,-0.0325,0,0,541,29,0,0,0.0019,0.0055,-0.0585,0.0099
4_greek_near,greek_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_grocery_far,grocery_far,0.0166,-0.0183,-0.0921,-0.228,0.001,0.0013,27587,2138,0.0001,0.0004,0.1456,0.0318,0.0895,-0.0915
1_grocery_far,grocery_far,-0.0114,-0.0217,-0.0189,0.0198,0.002,0.0013,28093,11626,0.0022,0.0024,-0.2428,0.0932,-0.259,-0.2896
2_grocery_far,grocery_far,-0.0156,-0.0259,-0.0306,-0.0614,0.001,0.0014,57120,13684,0.0036,0.0021,-0.3507,0.0087,0.0372,0.2626
3_grocery_far,grocery_far,-0.0052,-0.0139,-0.021,0.2573,0.0006,0.0002,6001,793,0.0009,0.0009,-0.1411,0.0919,0.026,-0.0506
4_grocery_far,grocery_far,0.0005,-0.0043,0.0068,-0.0332,0.0007,0,371,145,0,0,0.0265,-0.0141,-0.0111,-0.0028
0_grocery_near,grocery_near,-0.0047,-0.0241,-0.0248,-0.1505,0.0007,0.0002,10309,532,0.0002,0,0.2363,-0.0507,-0.0923,0.0305
1_grocery_near,grocery_near,-0.0197,0.0015,-0.006,0.054,0.0013,0.0008,13009,3846,0.0009,0.001,-0.0736,0.1892,-0.4379,-0.2232
2_grocery_near,grocery_near,0.0157,-0.0161,0.0194,-0.2515,0.0018,0.0009,23016,4327,0.0004,0.0007,-0.4471,0.0887,-0.165,0.1854
3_grocery_near,grocery_near,0.007,-0.0038,0.0032,0.0134,0.0004,0.0006,2807,277,0.0002,0,-0.2259,0.0479,-0.0168,0.0286
4_grocery_near,grocery_near,-0.0033,-0.0008,0.0079,-0.011,0,0.0001,174,39,0,0,0.0012,-0.0039,0.0138,-0.0043
0_groomer_far,groomer_far,-0.0103,0.0026,0.0005,0.0008,0.0013,0.0013,102496,11551,0.0022,0.0018,0.1588,-0.0582,-0.0727,-0.2847
1_groomer_far,groomer_far,0,0,0,0,0,0,0,45,0.0003,0.0001,-0.1426,0.0773,-0.014,-0.0058
2_groomer_far,groomer_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_groomer_far,groomer_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_groomer_far,groomer_far,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_groomer_near,groomer_near,-0.0081,-0.0037,-0.064,-0.0427,0.0002,0.0003,22294,3615,0.001,0.0006,0.0519,0.0343,0.0789,-0.1229
1_groomer_near,groomer_near,0,0,0,0,0,0,0,12,0,0,-0.0253,0.0236,-0.001,-0.0006
2_groomer_near,groomer_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_groomer_near,groomer_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_groomer_near,groomer_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0_gyms_far,gyms_far,0.0095,-0.0122,0.0376,0.0971,0.0031,0.0024,117489,16664,0.0019,0.0025,-0.1708,0.2309,-0.0675,-0.2063
1_gyms_far,gyms_far,0,0,0,0,0,0,0,3,0,0,0,-0.0001,0,0
2_gyms_far,gyms_far,-0.0002,0.0009,0.0009,-0.0068,0,0,512,524,0.0004,0.0003,-0.2101,0.0925,-0.0283,-0.059
3_gyms_far,gyms_far,-0.0005,0.0001,0.0032,0.0275,0,0.0001,1744,428,0.0001,0,-0.0624,0.0071,-0.0152,0.0444
4_gyms_far,gyms_far,0.0003,0.0082,0.0244,0.0292,0,0,2414,47,0,0.0002,0.0196,-0.0159,0.012,-0.0016
0_gyms_near,gyms_near,0.0074,-0.018,-0.0543,0.0877,0.0015,0.0014,44584,5551,0.0007,0.001,-0.0935,0.1479,0.1541,-0.2802
1_gyms_near,gyms_near,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_gyms_near,gyms_near,0,0,-0.0028,0.0035,0,0,86,178,0,0.0002,-0.1405,0.0551,-0.015,-0.0019
3_gyms_near,gyms_near,0,0.0003,0.0044,-0.019,0.0006,0,590,123,0,0,-0.002,-0.0098,0.0319,-0.0192
4_gyms_near,gyms_near,-0.0008,-0.0057,-0.0077,0.0668,0,0,682,5,0,0,0.0066,-0.0019,-0.0076,0.0063
0_hair_extensions_far,hair_extensions_far,-0.0058,0.0214,-0.0587,0.1588,0.0012,0.0008,13455,7258,0.0004,0.0004,-0.3302,0.0827,0.136,-0.0047
1_hair_extensions_far,hair_extensions_far,0,0,0,0,0,0,0,1345,0.0003,0,0.1234,0.0476,-0.111,-0.0036
2_hair_extensions_far,hair_extensions_far,0.0233,-0.0129,0.0501,-0.2052,0.0008,0.0013,35487,14620,0.0011,0.001,0.1636,-0.0414,-0.1873,-0.1624
3_hair_extensions_far,hair_extensions_far,0.0057,0.0032,-0.0079,0.0507,0.0005,0,2047,966,0.0003,0.0001,0.0306,-0.0324,-0.093,0.0061
4_hair_extensions_far,hair_extensions_far,0.0057,-0.0102,0.0053,-0.0559,0,0,6920,0,0,0,0,0,0,0
0_hair_extensions_near,hair_extensions_near,0.0002,0.0111,-0.0163,-0.0756,0.0002,0.0007,4326,1941,0,0.0001,-0.1594,-0.0234,-0.0215,0.0625
1_hair_extensions_near,hair_extensions_near,0,0,0,0,0,0,0,601,0,0,0.1424,-0.0938,-0.0213,0.0387
2_hair_extensions_near,hair_extensions_near,-0.0184,-0.0065,0.0295,0.1447,0.0004,0.0005,11935,4500,0.0005,0.0005,0.1286,-0.0428,-0.1155,-0.0852
3_hair_extensions_near,hair_extensions_near,-0.0042,0.007,-0.0037,0.0202,0,0,542,277,0.0004,0,0.0825,-0.0107,0.0359,0.0099
4_hair_extensions_near,hair_extensions_near,-0.0035,0.0003,-0.0087,-0.0026,0,0,1432,0,0,0,0,0,0,0
0_hair_far,hair_far,-0.0245,0.0361,-0.0265,-0.0518,0.0028,0.0012,135985,18416,0.0013,0.0016,0.2477,-0.1057,0.3118,-0.2616
1_hair_far,hair_far,-0.0543,0.0367,0.0344,0.2002,0.0016,0.0007,31794,12974,0.0014,0.0022,-0.2261,0.1545,-0.0957,-0.1497
2_hair_far,hair_far,-0.0083,0.0123,-0.0272,0.1033,0.0033,0.0032,226182,66784,0.0043,0.0022,-0.0792,-0.0147,0.242,0.0243
3_hair_far,hair_far,-0.0226,-0.0053,-0.0445,0.0887,0.0018,0.001,125057,8585,0.0014,0.0008,-0.2169,0.0555,0.0915,0.1459
4_hair_far,hair_far,0.0114,0.0069,-0.0368,0.1477,0.0001,0.0002,8054,1922,0.0033,0.0002,-0.1219,-0.0169,-0.0342,0.0673
0_hair_near,hair_near,-0.0038,0.029,-0.0351,-0.2594,0.0007,0.0006,55363,5160,0.0002,0.0005,-0.1108,0.115,0.0533,-0.1472
1_hair_near,hair_near,-0.0026,-0.0077,0.0664,0.0822,0.0003,0.0008,15189,3750,0.0005,0.0005,-0.1297,0.1045,-0.0863,-0.0633
2_hair_near,hair_near,0.0013,0.016,-0.0588,0.0736,0.0022,0.0022,90890,19811,0.0013,0.0016,0.0061,-0.0922,0.3004,-0.2095
3_hair_near,hair_near,0.0157,-0.0067,-0.0079,-0.1421,0.0006,0.0007,47283,2867,0.0004,0.0002,0.0233,-0.2163,0.238,0.1565
4_hair_near,hair_near,-0.0009,-0.0133,0.0092,0.0478,0,0,1907,652,0.0001,0,-0.1531,0.1094,-0.0673,0.0189
0_hairremoval_far,hairremoval_far,0.0136,-0.0623,0.0481,-0.0205,0.0001,0.0001,5117,5397,0.0007,0.0009,-0.1715,-0.077,0.0427,0.0285
1_hairremoval_far,hairremoval_far,0.0121,-0.0287,-0.0105,0.3144,0.0002,0,2474,9011,0.0014,0.0015,0.1908,-0.1289,-0.0041,0.0123
2_hairremoval_far,hairremoval_far,-0.0344,0.0239,0.0172,0.0346,0.0008,0.0147,37454,34052,0.0022,0.0028,-0.0917,0.0454,0.0503,0.0825
3_hairremoval_far,hairremoval_far,-0.0067,-0.0077,0.0052,0.1297,0.0003,0.0002,11308,2345,0.0013,0.0006,0.0607,-0.0957,-0.0078,0.0759
4_hairremoval_far,hairremoval_far,0.0004,-0.0022,-0.0311,-0.0035,0.0002,0.0003,1680,190,0,0.0001,-0.122,0.0473,-0.0016,-0.0005
0_hairremoval_near,hairremoval_near,0.0099,-0.0322,-0.017,0.1491,0,0,1978,1695,0.0001,0.0005,0.1486,-0.1854,0.0163,0.0156
1_hairremoval_near,hairremoval_near,0.0078,-0.0036,0.0021,-0.1228,0.0003,0.0002,1290,2519,0.0003,0.0001,0.1945,-0.0894,0.0778,-0.1697
2_hairremoval_near,hairremoval_near,0.0071,0.0069,-0.0142,-0.0132,0.0013,0.0003,14188,11392,0.0004,0.0009,-0.2963,-0.0048,0.1131,0.1488
3_hairremoval_near,hairremoval_near,-0.0006,-0.0202,-0.0002,0.0484,0.0002,0,3653,940,0.0008,0.0005,0.1346,-0.0493,-0.0557,0.0649
4_hairremoval_near,hairremoval_near,-0.0051,0.013,-0.0009,-0.0002,0,0,196,76,0,0,0.0737,-0.0352,-0.0015,0
0_hairstylists_far,hairstylists_far,-0.0006,-0.0328,0.0466,-0.0453,0.0013,0.0008,210743,10157,0.0001,0.0011,-0.1254,0.0842,-0.0715,-0.0346
1_hairstylists_far,hairstylists_far,0.013,0.0068,-0.004,-0.1356,0.0003,0.0012,5414,5585,0.0005,0.0006,0.0155,0.0319,0.0788,-0.1472
2_hairstylists_far,hairstylists_far,0.0001,-0.0036,-0.0204,0.1478,0.0014,0.002,121163,27247,0.0013,0.0016,0.1155,0.0837,-0.2011,0.0358
3_hairstylists_far,hairstylists_far,-0.0093,0.0223,0.0181,-0.1248,0.0008,0.0009,51631,1693,0.0002,0.0007,0.1589,0.0807,-0.2013,0.0109
4_hairstylists_far,hairstylists_far,0.0055,-0.0044,0.0028,0.1057,0,0.0002,10598,544,0.0002,0,-0.0053,-0.0548,0.1223,0.1186
0_hairstylists_near,hairstylists_near,0.0083,-0.0141,0.034,0.0248,0.0013,0.0006,61540,3012,0.0007,0.0004,-0.3802,0.1376,-0.1076,0.0682
1_hairstylists_near,hairstylists_near,0.0046,-0.0119,0.0049,-0.0553,0.0005,0,2514,1286,0.0002,0,-0.1124,0.0168,0.0024,-0.0155
2_hairstylists_near,hairstylists_near,-0.0077,-0.0221,-0.0052,-0.0867,0.001,0.0003,46919,7120,0.0006,0.0008,0.3339,-0.0351,-0.1097,0.1899
3_hairstylists_near,hairstylists_near,0.0025,-0.0092,-0.015,0.0821,0,0.0004,14441,487,0.0002,0.0001,-0.0665,-0.0378,0.2131,-0.0232
4_hairstylists_near,hairstylists_near,0.0022,0.0002,0.004,-0.1369,0,0,3850,222,0.0004,0.0001,-0.1269,-0.019,-0.0426,0.1425
0_health_far,health_far,0.0047,-0.0011,0.0025,0.001,0.004,0.0077,6914699,214600,0.0072,0.0074,0.0635,-0.0621,0.0085,-0.0256
1_health_far,health_far,-0.0287,0.0327,-0.0101,-0.0049,0.0007,0.0007,6957,7432,0.0026,0.0018,-0.2463,0.0878,0.3404,-0.0912
2_health_far,health_far,0.0213,-0.004,0.0029,0.081,0.0013,0.002,155923,31078,0.0016,0.0013,-0.4945,0.3263,0.1088,0.0519
3_health_far,health_far,-0.0093,0.0135,-0.0258,0.0872,0.0065,0.0001,78319,5490,0.0028,0.0006,-0.3104,0.032,0.1543,-0.1071
4_health_far,health_far,0.006,-0.0123,-0.0415,-0.0156,0.0002,0.0001,8897,844,0,0.0001,0.1464,0.0327,0.0808,-0.0751
0_health_near,health_near,-0.0055,0.0019,0.0042,0.0047,0.0054,0.0036,2418755,61193,0.0035,0.0033,0.0011,0.001,-0.0265,-0.0441
1_health_near,health_near,-0.0035,0.0217,-0.0417,-0.0167,0.0002,0.0012,2633,2307,0.0006,0.0003,-0.3849,0.1627,-0.0283,0.0233
2_health_near,health_near,0.028,-0.0122,-0.0377,0.0881,0.0008,0.0003,51595,10115,0.001,0.0009,0.1551,0.0962,-0.0957,0.0709
3_health_near,health_near,-0.0028,-0.0045,-0.0095,0.0497,0.0004,0.0008,30660,1760,0.0001,0.0007,-0.0809,0.0086,0.0162,0.0466
4_health_near,health_near,-0.0084,0.012,0.0069,-0.0131,0.0003,0,2254,339,0,0,0.0819,-0.0517,-0.0094,0.0185
0_healthtrainers_far,healthtrainers_far,0.0596,-0.0111,-0.043,-0.1203,0.0025,0.0133,324304,15903,0.0021,0.0032,0.0974,-0.0398,-0.2986,0.1792
1_healthtrainers_far,healthtrainers_far,-0.0002,-0.0002,0.0083,0.0345,0,0,894,45,0,0,0.0012,-0.0005,-0.0001,0
